Fecha,Emisora,Serie,Precio
20170214,ACTIGOB,B-2,4.01043
20170214,ACTIGOB,B-3,4.107277
20170214,ACTIGOB,E,4.632768
20170214,ACTIGOB,F-1,4.217571
20170214,ACTIGOB,FF,4.601833
20170214,ACTIGOB,GE,4.761515
20170214,ACTIGOB,M-1,4.220412
20170214,ACTIGOB,M-2,4.281603
20170214,ACTIGOB,M-3,4.343718
20170214,ACTIMED,A,4.801796
20170214,ACTIMED,B-1,4.117029
20170214,ACTIMED,B-2,4.453239
20170214,ACTIMED,B-3,4.568657
20170214,ACTIMED,D,4.554033
20170214,ACTIMED,E,4.807097
20170214,ACTIMED,F-1,4.463421
20170214,ACTIMED,F-2,4.646675
20170214,ACTIMED,F-3,4.690005
20170214,ACTIMED,FF,4.799572
20170214,ACTIMED,M-1,4.296534
20170214,ACTIMED,M-2,4.51887
20170214,ACTIMED,M-3,4.576893
20170214,ACTIREN,A,9.175062
20170214,ACTIREN,B-1,7.231366
20170214,ACTIREN,B-2,7.524867
20170214,ACTIREN,B-3,7.72444
20170214,ACTIREN,E,8.415472
20170214,ACTIREN,F-1,7.79125
20170214,ACTIREN,F-2,7.868936
20170214,ACTIREN,F-3,8.053071
20170214,ACTIREN,FF,9.239214
20170214,ACTIREN,M-1,7.839031
20170214,ACTIREN,M-2,7.895827
20170214,ACTIREN,M-3,7.944502
20170214,ALTERNA,A,4.032996
20170214,ALTERNA,B-1,3.113482
20170214,ALTERNA,B-2,3.374056
20170214,ALTERNA,B-3,3.612159
20170214,ALTERNA,D,3.640383
