id,ID_CLIENTE,NIVEL,MEJOR_RENDIMIENTO
705,90035239,NIVEL 1,Yes
706,90035239,NIVEL 2,Yes
707,90035239,NIVEL 3,Yes
708,90035346,NIVEL 1,Yes
709,90035346,NIVEL 2,Yes
710,90035346,NIVEL 3,Yes
711,90035411,NIVEL 1,Yes
712,90035411,NIVEL 2,Yes
713,90035411,NIVEL 3,Yes
714,90035478,NIVEL 1,No
715,90035478,NIVEL 2,No
716,90035478,NIVEL 3,No
717,90035767,NIVEL 1,No
718,90035767,NIVEL 2,No
719,90035767,NIVEL 3,No
720,90035833,NIVEL 1,Yes
721,90035833,NIVEL 2,Yes
722,90035833,NIVEL 3,Yes
723,90035940,NIVEL 1,No
724,90035940,NIVEL 2,No
725,90035940,NIVEL 3,No
726,90036062,NIVEL 1,Yes
727,90036062,NIVEL 2,Yes
728,90036062,NIVEL 3,Yes
729,90036716,NIVEL 1,No
730,90036716,NIVEL 2,No
731,90036716,NIVEL 3,No
732,90037334,NIVEL 1,No
733,90037334,NIVEL 2,No
734,90037334,NIVEL 3,No
735,90037441,NIVEL 1,Yes
736,90037441,NIVEL 2,Yes
737,90037441,NIVEL 3,Yes
738,90037508,NIVEL 1,Yes
739,90037508,NIVEL 2,Yes
740,90037508,NIVEL 3,Yes
741,90037557,NIVEL 1,No
742,90037557,NIVEL 2,No
743,90037557,NIVEL 3,No
744,90037938,NIVEL 1,Yes
745,90037938,NIVEL 2,Yes
746,90037938,NIVEL 3,Yes
747,90038357,NIVEL 1,Yes
748,90038357,NIVEL 2,Yes
749,90038357,NIVEL 3,Yes
750,90038415,NIVEL 1,No
751,90038415,NIVEL 2,No
752,90038415,NIVEL 3,No
753,90038456,NIVEL 1,Yes
754,90038456,NIVEL 2,Yes
755,90038456,NIVEL 3,Yes
756,90038480,NIVEL 1,Yes
757,90038480,NIVEL 2,Yes
758,90038480,NIVEL 3,Yes
759,90038613,NIVEL 1,No
760,90038613,NIVEL 2,No
761,90038613,NIVEL 3,No
762,90038977,NIVEL 1,Yes
763,90038977,NIVEL 2,Yes
764,90038977,NIVEL 3,Yes
765,90039165,NIVEL 1,No
766,90039165,NIVEL 2,No
767,90039165,NIVEL 3,No
768,90039181,NIVEL 1,No
769,90039181,NIVEL 2,Yes
770,90039181,NIVEL 3,Yes
771,90039280,NIVEL 1,Yes
772,90039280,NIVEL 2,Yes
773,90039280,NIVEL 3,Yes
774,90039371,NIVEL 1,Yes
775,90039371,NIVEL 2,Yes
776,90039371,NIVEL 3,Yes
777,90039397,NIVEL 1,No
778,90039397,NIVEL 2,No
779,90039397,NIVEL 3,No
780,90039520,NIVEL 1,Yes
781,90039520,NIVEL 2,Yes
782,90039520,NIVEL 3,Yes
783,90039603,NIVEL 1,Yes
784,90039603,NIVEL 2,Yes
785,90039603,NIVEL 3,Yes
786,90039678,NIVEL 1,Yes
787,90039678,NIVEL 2,Yes
788,90039678,NIVEL 3,Yes
789,90039686,NIVEL 1,Yes
790,90039686,NIVEL 2,Yes
791,90039686,NIVEL 3,Yes
792,90039694,NIVEL 1,Yes
793,90039694,NIVEL 2,Yes
794,90039694,NIVEL 3,Yes
795,90039728,NIVEL 1,No
796,90039728,NIVEL 2,No
797,90039728,NIVEL 3,No
798,90039769,NIVEL 1,Yes
799,90039769,NIVEL 2,Yes
800,90039769,NIVEL 3,Yes
801,90039934,NIVEL 1,No
802,90039934,NIVEL 2,No
803,90039934,NIVEL 3,No
804,90039959,NIVEL 1,Yes
805,90039959,NIVEL 2,Yes
